,JobAds
0,"Stellenanzeige

Unser Unternehmen sucht motivierte und erfahrene Mitarbeiter für zwei verschiedene Positionen:

1. Position: Elektriker (blue collar job)
Wir sind auf der Suche nach einem Elektriker, der über fundierte Kenntnisse im Bereich der Elektroinstallation verfügt. Zu den Aufgaben gehören das Installieren, Warten und Reparieren elektrischer Systeme. Der ideale Kandidat sollte über eine abgeschlossene Ausbildung als Elektriker oder eine vergleichbare Qualifikation verfügen. Erfahrung in der Industrie- oder Gebäudeinstallation ist von Vorteil. Teamfähigkeit, Zuverlässigkeit und eine selbständige Arbeitsweise sind weitere wichtige Anforderungen für diese Position.

2. Position: Marketing Manager (white collar job)
Für unsere Marketingabteilung suchen wir einen erfahrenen Marketing Manager, der kreative Marketingstrategien entwickeln und umsetzen kann. Zu den Aufgaben gehören die Planung, Durchführung und Überwachung von Marketingkampagnen, die Analyse von Markttrends sowie die Entwicklung von Marketingplänen. Der ideale Kandidat verfügt über einen Hochschulabschluss in Marketing oder einem verwandten Bereich sowie mehrjährige Erfahrung im Marketing. Ausgezeichnete Kommunikations- und Organisationsfähigkeiten sind ebenso wichtig wie ein gutes Verständnis für die digitale Marketinglandschaft.

Wir bieten unseren Mitarbeitern eine attraktive Vergütung, Weiterbildungsmöglichkeiten und die Chance, in einem dynamischen und innovativen Arbeitsumfeld tätig zu sein. Wenn Sie Interesse an einer der ausgeschriebenen Positionen haben und über die erforderlichen Qualifikationen verfügen, senden Sie bitte Ihre Bewerbungsunterlagen an [E-Mail-Adresse]. Wir freuen uns darauf, Sie kennenzulernen.

Hinweis: Die Stellen können auch in Teilzeit oder als Vollzeitbeschäftigung angeboten werden, abhängig von den individuellen Anforderungen des Unternehmens."
1,"Stellenanzeige

Unterstützung für Metallbauunternehmen gesucht!

Wir sind ein renommiertes Metallbauunternehmen mit langjähriger Erfahrung und suchen ab sofort Verstärkung für unser Team. Zur Verstärkung unseres Teams suchen wir sowohl blue collar als auch white collar Mitarbeiter, die mit ihrer Leidenschaft für Handwerk und Technik unser Unternehmen weiter vorantreiben können.

Blue Collar Positionen:

1. Schweißer/in: Wir suchen erfahrene Schweißer, die über fundierte Kenntnisse im Schweißen von Metallen verfügen. Zu den Aufgaben gehören das Schweißen von Konstruktionen nach Plan, das Durchführen von Reparaturarbeiten sowie die Qualitätssicherung der geschweißten Teile.

2. Produktionsmitarbeiter/in: Wir suchen engagierte Mitarbeiter, die an der Produktion von Metallkonstruktionen mitwirken möchten. Zu den Aufgaben gehören das Biegen, Bohren und Schleifen von Metallteilen sowie die Bedienung von Maschinen.

White Collar Positionen:

1. Technischer Zeichner/in: Als technischer Zeichner sind Sie für die Erstellung von Konstruktionszeichnungen, technischen Plänen und Stücklisten verantwortlich. Sie arbeiten eng mit der Fertigung und dem Engineering-Team zusammen, um sicherzustellen, dass die Zeichnungen den Anforderungen entsprechen.

2. Projektingenieur/in: Als Projektingenieur übernehmen Sie die Verantwortung für die Planung, Durchführung und Überwachung von Projekten im Bereich Metallbau. Sie arbeiten eng mit Kunden, Lieferanten und internen Abteilungen zusammen, um sicherzustellen, dass die Projekte termingerecht und budgetkonform abgeschlossen werden.

Unsere Anforderungen:

- Abgeschlossene Berufsausbildung im metallverarbeitenden Bereich für blue collar Positionen
- Technische Ausbildung oder Studium im Bereich Maschinenbau oder vergleichbar für white collar Positionen
- Erfahrung im Metallbau von Vorteil
- Teamfähigkeit, Zuverlässigkeit und Eigeninitiative

Wir bieten:

- Attraktive Vergütung und Sozialleistungen
- Weiterbildungsmöglichkeiten
- Modern ausgestatteter Arbeitsplatz
- Tolles Betriebsklima in einem motivierten Team

Wenn Sie Teil unseres erfolgreichen Unternehmens werden möchten und eine Leidenschaft für Metallbau haben, senden Sie uns Ihre Bewerbung mit Lebenslauf und Zeugnissen an [Kontaktinformationen]. Wir freuen uns darauf, Sie kennenzulernen!"
2,"Stellenanzeige: Elektriker (m/w/d)

Unser Unternehmen X ist ein führender Anbieter von Elektroinstallationen in der Region und sucht zur Verstärkung seines Teams ab sofort einen Elektriker (m/w/d). Diese Position bietet die Möglichkeit, in einem dynamischen und innovativen Umfeld zu arbeiten und an vielfältigen Projekten in verschiedenen Bereichen beteiligt zu sein.

Aufgaben:
- Installation, Wartung und Reparatur von elektrischen Anlagen
- Durchführung von Inspektionen und Fehlerdiagnosen
- Montage von Schaltanlagen und Steuerungssystemen
- Sicherstellung der Einhaltung von Sicherheitsvorschriften
- Zusammenarbeit mit anderen Gewerken und Projektteams

Anforderungen:
- Abgeschlossene Ausbildung als Elektriker, Elektroniker oder vergleichbare Qualifikation
- Erfahrung in der Elektroinstallation sowie im Umgang mit elektrischen Geräten und Anlagen
- Kenntnisse der relevanten Vorschriften und Normen
- Selbstständige und zuverlässige Arbeitsweise
- Teamfähigkeit und Kommunikationsstärke

Wir bieten:
- Attraktive Vergütung und Zusatzleistungen
- Interessante und abwechslungsreiche Projekte
- Fortbildungsmöglichkeiten und Entwicklungsperspektiven
- Angenehmes Betriebsklima und kollegiales Team
- Moderne Arbeitsmittel und -umgebung

Wir suchen motivierte und qualifizierte Elektriker, die Freude an ihrem Beruf haben und gerne Verantwortung übernehmen. Wenn Sie Teil eines erfolgreichen Unternehmens werden möchten und die Herausforderung suchen, in einem dynamischen Umfeld tätig zu sein, freuen wir uns auf Ihre Bewerbung.

Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen an bewerbungen@unternehmenx.de. Bei Fragen stehen wir Ihnen gerne telefonisch unter 0123-456789 zur Verfügung.

Wir freuen uns darauf, Sie kennenzulernen und gemeinsam die Zukunft unseres Unternehmens zu gestalten."
3,"Stellenanzeige

Unser Unternehmen, das sich auf die Herstellung von hochwertigen Werkzeugen spezialisiert hat, sucht derzeit nach einem engagierten und erfahrenen Produktionsmitarbeiter (m/w/d) für unsere Fertigungsabteilung in unserem Werk in Frankfurt am Main.

Als Produktionsmitarbeiter werden Sie Teil eines dynamischen Teams sein, das auf höchste Qualität und Effizienz bei der Herstellung unserer Produkte setzt. Zu Ihren Aufgaben gehören unter anderem das Bedienen von Maschinen, das Überwachen des Produktionsprozesses, die Qualitätskontrolle sowie die Verpackung und Versandvorbereitung der fertigen Werkzeuge.

Wir suchen nach Kandidaten, die idealerweise über eine abgeschlossene Ausbildung im Bereich der Metallverarbeitung oder eine vergleichbare Qualifikation verfügen. Berufserfahrung in der Fertigung oder Produktion ist von Vorteil, jedoch sind auch motivierte Quereinsteiger herzlich willkommen. Teamgeist, Zuverlässigkeit und eine schnelle Auffassungsgabe sind wichtige Eigenschaften, die wir bei unseren Mitarbeiterinnen und Mitarbeitern schätzen.

Der Arbeitstag als Produktionsmitarbeiter in unserem Werk beginnt um 6:00 Uhr und endet um 14:30 Uhr. Wir bieten Ihnen eine leistungsgerechte Vergütung, ein angenehmes Arbeitsumfeld sowie diverse Entwicklungsmöglichkeiten innerhalb des Unternehmens.

Wenn Sie bereit sind, Teil unseres erfolgreichen Teams zu werden und Ihre Fähigkeiten in der Produktion unter Beweis stellen möchten, freuen wir uns auf Ihre Bewerbung. Senden Sie Ihren Lebenslauf und ein Anschreiben per E-Mail an jobs@werkzeughersteller.de mit dem Betreff ""Bewerbung Produktionsmitarbeiter"".

Wir wertschätzen Vielfalt und Chancengleichheit in unserem Unternehmen und ermutigen Personen aller Geschlechter, Altersgruppen und Hintergründe, sich bei uns zu bewerben."
4,"**Stellenangebot: Ingenieur (m/w/d) für innovative Produktentwicklung**

Du hast eine Leidenschaft für technische Innovationen und möchtest an der Entwicklung bahnbrechender Produkte teilnehmen? Wir, ein führendes Technologieunternehmen, suchen einen erfahrenen Ingenieur (m/w/d) für unsere Abteilung für Produktentwicklung.

**Aufgaben:**
- Entwicklung und Konstruktion von neuen Produkten unter Berücksichtigung von technischen Anforderungen und Innovationen
- Durchführung von Machbarkeitsstudien und Bewertung von Produktionsprozessen
- Enge Zusammenarbeit mit anderen Abteilungen, um Produktionsabläufe zu optimieren und die Produktqualität zu sichern
- Durchführung von Tests, Analysen und Bewertungen von Prototypen

**Anforderungen:**
- Abgeschlossenes Studium im Bereich Ingenieurwesen oder vergleichbare Qualifikation
- Mindestens 3 Jahre Berufserfahrung in der Produktentwicklung
- Fundierte Kenntnisse in CAD-Software und Entwicklungswerkzeugen
- Teamfähigkeit, Kreativität und Innovationsgeist
- Gute Kommunikationsfähigkeiten und Problemlösungskompetenz

**Wir bieten:**
- Spannende und abwechslungsreiche Projekte in einem internationalen Umfeld
- Offene Unternehmenskultur mit kurzen Entscheidungswegen und Raum für persönliche Entwicklung
- Attraktives Gehaltspaket und umfangreiche Benefits
- Weiterbildungsmöglichkeiten und Karrierechancen in einem wachsenden Unternehmen

**Blue Collar + White Collar:**

Unser Team besteht aus talentierten Mitarbeitern verschiedener Fachrichtungen - von Ingenieuren bis hin zu Facharbeitern. Wir schätzen die vielfältigen Perspektiven und Fähigkeiten jedes Einzelnen und fördern eine Kultur der Zusammenarbeit und Innovation. Egal, ob du im Büro an der Konstruktion arbeitest oder in der Werkhalle an der Produktion beteiligt bist - bei uns zählt dein Beitrag zur Entwicklung herausragender Produkte.

Wenn du Teil eines dynamischen Teams werden möchtest, das die Zukunft der Technologie gestaltet, bewirb dich jetzt als Ingenieur (m/w/d) für innovative Produktentwicklung und werde Teil unserer Erfolgsgeschichte. Wir freuen uns darauf, dich kennenzulernen!"
5,"Stellenangebot: Produktionsmitarbeiter (m/w/d) gesucht!

Wir sind ein renommiertes Unternehmen mit langjähriger Erfahrung in der Herstellung hochwertiger Produkte und suchen zur Verstärkung unseres Teams einen zuverlässigen Produktionsmitarbeiter (m/w/d) in Vollzeit.

Ihre Aufgaben:
- Bedienen von Maschinen und Anlagen zur Produktion unserer Produkte
- Überwachen des Fertigungsprozesses und Sicherstellung der Qualitätsstandards
- Durchführung von Wartungs- und Reinigungsarbeiten an den Maschinen
- Unterstützung bei der Verpackung und Versandvorbereitung der Produkte

Ihr Profil:
- Erfahrung in der Produktion oder handwerkliches Geschick
- Bereitschaft zur Schichtarbeit (Früh- und Spätschicht)
- Zuverlässigkeit, Teamfähigkeit und Motivation
- Kenntnisse im Umgang mit technischen Geräten von Vorteil
- Gute Deutschkenntnisse

Wir bieten:
- Attraktive Vergütung und tarifliche Sonderleistungen
- Langfristige Perspektiven und Weiterbildungsmöglichkeiten
- Angenehmes Arbeitsklima in einem motivierten Team
- Sicherer Arbeitsplatz in einem erfolgreichen Unternehmen

Wenn Sie eine neue berufliche Herausforderung suchen und gerne in einem dynamischen Umfeld arbeiten, freuen wir uns auf Ihre Bewerbung. Werden Sie Teil unseres Teams und gestalten Sie aktiv die Produktion unserer hochwertigen Produkte mit!

Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen an recruiting@unternehmen.de. Bei Fragen stehen wir Ihnen gerne unter der Telefonnummer XXX-XXXXXXX zur Verfügung.

Wir freuen uns darauf, Sie kennenzulernen!"
6,"Stellenanzeige:

Firma: BlueTech Solutions GmbH

Position: Elektriker/in

Standort: Berlin

BlueTech Solutions GmbH, ein führendes Technologieunternehmen im Bereich erneuerbare Energien, sucht einen engagierten Elektriker/eine engagierte Elektrikerin zur Verstärkung unseres Teams in Berlin. Als Elektriker/in bei BlueTech Solutions haben Sie die Möglichkeit, in einem innovativen und zukunftsorientierten Unternehmen zu arbeiten, das sich der Nachhaltigkeit verschrieben hat.

Aufgaben:

- Installation, Wartung und Reparatur von elektrischen Komponenten und Anlagen
- Durchführung von elektrischen Inspektionen und Tests
- Behebung von Störungen im Stromkreislauf
- Zusammenarbeit mit anderen Teams, um Projekte termingerecht abzuschließen
- Einhaltung von Sicherheitsstandards und Vorschriften

Anforderungen:

- Abgeschlossene Ausbildung als Elektriker/in oder eine vergleichbare Qualifikation
- Berufserfahrung in der Installation und Wartung elektrischer Anlagen
- Fundierte Kenntnisse im Bereich Elektrotechnik
- Teamfähigkeit und Kommunikationsstärke
- Zuverlässigkeit und eigenverantwortliche Arbeitsweise
- Bereitschaft zur Fort- und Weiterbildung

Wir bieten:

- Attraktives Gehaltspaket mit Zusatzleistungen
- Spannende Projekte im Bereich erneuerbare Energien
- Professionelles und motiviertes Team
- Weiterbildungsmöglichkeiten und Karriereentwicklung
- Angenehmes Arbeitsklima in einem modernen Büro

BlueTech Solutions GmbH ist ein Arbeitgeber, der Vielfalt schätzt und Chancengleichheit fördert. Wir freuen uns auf Ihre Bewerbung als Elektriker/in und darauf, Sie in unserem Team willkommen zu heißen. Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen an recruiting@bluetechsolutions.com."
7,"Stellenanzeige:
Unser renommiertes Unternehmen im Bereich Maschinenbau sucht motivierte Fachkräfte zur Verstärkung unseres Teams. Wir bieten eine Vielzahl von Möglichkeiten sowohl im blue- als auch white-collar Bereich und suchen engagierte Talente, die mit uns gemeinsam innovative Lösungen entwickeln und unsere Unternehmensziele vorantreiben möchten.

Position: Produktionsmitarbeiter (m/w/d)
Arbeitsort: Stuttgart

Aufgaben:
- Bedienung und Überwachung von Produktionsmaschinen und Anlagen
- Qualitätskontrolle der hergestellten Produkte
- Durchführung von Wartungsarbeiten an Maschinen
- Einhaltung von Sicherheitsvorschriften und Qualitätsstandards
- Unterstützung bei der kontinuierlichen Verbesserung der Produktionsprozesse
- Dokumentation der Arbeitsabläufe

Anforderungen:
- Abgeschlossene Ausbildung im technischen Bereich, idealerweise als Industriemechaniker, Mechatroniker oder eine vergleichbare Qualifikation
- Erste Berufserfahrung in der Produktion wünschenswert
- Bereitschaft zur Schichtarbeit und Überstunden
- Zuverlässigkeit, Teamfähigkeit und Eigeninitiative
- Gute Deutschkenntnisse in Wort und Schrift

Wir bieten:
- Eine spannende und abwechslungsreiche Tätigkeit in einem innovativen Unternehmen
- Attraktive Vergütung und Sozialleistungen
- Weiterbildungsmöglichkeiten und Karriereperspektiven
- Ein motiviertes Team und ein angenehmes Arbeitsklima

Bewerben Sie sich jetzt und werden Sie Teil unseres erfolgreichen Unternehmens! Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen an careers@maschinenbauunternehmen.de. Wir freuen uns darauf, Sie kennenzulernen und gemeinsam mit Ihnen die Zukunft zu gestalten.

Maschinenbau GmbH
Personalabteilung
Musterstraße 123
70178 Stuttgart

Bitte beachten Sie, dass Bewerbungen per E-Mail bevorzugt behandelt werden."
8,"Stellenanzeige

Position: Produktionsmitarbeiter (m/w/d)

Firma XYZ ist ein führendes Unternehmen in der Produktionsbranche und sucht motivierte Produktionsmitarbeiter, um unser Team zu verstärken. Als Teil unseres engagierten Teams wirst du in einer modernen Produktionsumgebung arbeiten und dazu beitragen, hochwertige Produkte herzustellen, die in verschiedenen Branchen genutzt werden.

Aufgaben:
- Bedienung von Maschinen und Anlagen in der Fertigungslinie
- Durchführung von Qualitätskontrollen und Sicherstellung der Produktionsstandards
- Verpackung und Etikettierung der hergestellten Waren
- Unterstützung bei Wartungs- und Reinigungsarbeiten
- Einhaltung von Sicherheits- und Hygienevorschriften

Anforderungen:
- Erfahrung in der Produktion oder einem handwerklichen Bereich von Vorteil
- Bereitschaft zur Schichtarbeit und körperliche Belastbarkeit
- Teamfähigkeit und Zuverlässigkeit
- Gute Deutschkenntnisse
- Sinn für Präzision und Qualitätsbewusstsein

Wir bieten:
- Attraktives Gehalt und zusätzliche Sozialleistungen
- Ein freundliches und dynamisches Arbeitsumfeld
- Möglichkeiten zur beruflichen Weiterentwicklung und Weiterbildung
- Modern ausgestattete Arbeitsplätze und regelmäßige Team-Events
- Gute Verkehrsanbindung und Parkmöglichkeiten

Wenn du bereit bist, in einem motivierten Team mitzuarbeiten und einen Beitrag zum Erfolg unseres Unternehmens zu leisten, dann freuen wir uns auf deine Bewerbung! Sende uns deinen Lebenslauf sowie ein Anschreiben, in dem du erläuterst, warum du die richtige Person für diese Position bist, an career@xyzcompany.com.

Falls du weitere Fragen hast, kannst du dich gerne unter der Telefonnummer xxx-xxx-xxx an uns wenden. Wir freuen uns darauf, dich kennenzulernen und gemeinsam erfolgreich zu sein.

Arbeitsort: Berlin

Jetzt bewerben und Karrierechancen nutzen bei Firma XYZ!"
9,"Stellenanzeige:

Wir sind ein führendes Unternehmen in der Logistikbranche und suchen aktuell nach motivierten Mitarbeitern für verschiedene Positionen in unserem Team. Als Blue-Collar- oder White-Collar-Mitarbeiter hast du die Möglichkeit, in einem dynamischen Umfeld zu arbeiten und deine Fähigkeiten weiterzuentwickeln.

Position: Lagermitarbeiter / Logistikfachkraft

Standort: München

Aufgaben:
- Warenannahme, Einlagerung und Kommissionierung von Ware
- Durchführung von Bestandskontrollen und Inventuren
- Sicherstellung der Ordnung und Sauberkeit im Lager
- Zusammenarbeit mit anderen Abteilungen zur optimierten Lagerlogistik

Anforderungen:
- Erfahrung im Lager- oder Logistikbereich von Vorteil, aber nicht zwingend erforderlich
- Teamfähigkeit und Zuverlässigkeit
- Bereitschaft zur Schichtarbeit
- Gute Deutschkenntnisse

Wir bieten:
- Attraktive Vergütung und Zusatzleistungen
- Regelmäßige Schulungen und Weiterbildungsmöglichkeiten
- Aufstiegsmöglichkeiten innerhalb des Unternehmens
- Angenehmes Arbeitsklima und motiviertes Team

Position: Marketing Manager / Marketing Assistant

Standort: Berlin

Aufgaben:
- Entwicklung und Umsetzung von Marketingstrategien
- Erstellung von Marketingmaterialien und Kampagnen
- Pflege von Social-Media-Kanälen und Website
- Analyse von Marketingkennzahlen und Ableitung von Handlungsempfehlungen

Anforderungen:
- Abgeschlossenes Studium im Bereich Marketing oder vergleichbare Qualifikation
- Erfahrung im Marketing, idealerweise in der Konsumgüterbranche
- Kreativität und ein gutes Gespür für Trends
- Sehr gute Kommunikationsfähigkeiten

Wir bieten:
- Attraktives Gehaltspaket und Bonusregelungen
- Flexible Arbeitszeitmodelle und Home-Office-Möglichkeiten
- Möglichkeit zur beruflichen Weiterentwicklung
- Innovatives Arbeitsumfeld und spannende Projekte

Wenn du Teil eines erfolgreichen Teams werden möchtest und deine Karriere in einem zukunftsorientierten Unternehmen vorantreiben möchtest, freuen wir uns auf deine Bewerbung. Sende uns jetzt dein aussagekräftiges Anschreiben und deinen Lebenslauf an jobs@logistikunternehmen.de."
